	ar
See you tomorrow.	أراك غدا.
See you tonight.	اراك الليلة.
She's pretty.	انها جميلة.
Sorry to bother you.	آسف لإزعاجك.
Stop!	قف!
Take a chance.	خذ فرصة.
Take it outside.	خذه إلى الخارج.
Tell me.	أخبرنى.
Thanks for everything.	شكرا على كل شيء.
Thanks for your help.	شكرا لمساعدتك.
Thank you.	شكرا لكم.
Thank you miss.	شكرا انسة.
Thank you sir.	شكرا لك سيدي.
Thank you very much.	شكرا جزيلا.
That looks great.	هذا يبدو عظيما.
That's alright.	لا بأس.
That's enough.	هذا يكفي.
That's fine.	هذا جيد.
That's it.	هذا هو.
That smells bad.	أن رائحة سيئة.
That's not fair.	هذا ليس عدلا.
That's not right.	هذا غير صحيح.
That's right.	صحيح.
That's too bad.	وهذا أمر سيئ للغاية.
That's too many.	هذا كثير جدا.
That's too much.	هذا كثير جدا.
The book is under the table.	هذا الكتاب هو تحت الطاولة.
They'll be right back.	أنها سوف تكون حق العودة.
They're the same.	انهم نفس الشيء.
They're very busy.	أنهم مشغولون جدا.
This doesn't work.	هذا لا يعمل.
This is very difficult.	هذا أمر صعب جدا.
This is very important.	هذا مهم جدا.
Try it.	جربها.
"Very good, thanks."	جيد جدا، شكرا.
We like it very much.	نحن أحب ذلك كثيرا جدا.
Would you take a message please?	هل تأخذ رسالة من فضلك؟
"Yes, really."	نعم حقا.
You're beautiful.	أنت جميلة.
You're very nice.	أنت لطيف جدا.
You're very smart.	انت ذكي جدا.
Your things are all here.	الأشياء الخاصة بك كلها هنا.
Are you busy?	هل انت مشغول؟
Can we have some more bread please?	يمكن لدينا بعض الخبز أكثر من فضلك؟
Do you have any money?	هل معك اى نقود؟
For how many nights?	لكم ليلة؟
How long will you be staying?	كم من الوقت سوف تبقى؟
I'd like a map of the city.	أود خريطة للمدينة.
I'd like a non-smoking room.	أود الحصول على غرفة التدخين غير.
I'd like a room.	أود الحصول على غرفة.
I'd like a room with two beds please.	أود الحصول على غرفة بسريرين من فضلك.
I need a doctor.	أحتاج إلى طبيب.
Is there a nightclub in town?	هناك ملهى ليلي في المدينة؟
Is there a restaurant in the hotel?	هل هناك مطعم في الفندق؟
Is there a store near here?	هل يوجد محل قريب من هنا؟
"Sorry, we don't have any vacancies."	عذرا، ليس لدينا أي وظيفة شاغرة.
Take me to the Marriott Hotel.	يأخذني إلى فندق ماريوت.
What's the charge per night? (Hotel)	ما هي التهمة في الليل؟ (الفندق)
What time is check out?	ما هو الوقت تحقق من؟
Where is the airport?	أين هو المطار؟
Where's the mail box?	أين هو صندوق بريد؟
Come here.	تعال الى هنا.
Does it often snow in the winter in Massachusetts?	هل غالبا ما الثلوج في فصل الشتاء في ولاية ماساشوستس؟
Do you think it'll rain today?	هل تعتقد أنه سوف المطر اليوم؟
Do you think it's going to rain tomorrow?	هل تعتقد انها سوف المطر غدا؟
How's business?	كيف هو العمل؟
Is it close?	هل هو إغلاق؟
Is it possible?	هل هو ممكن؟
Is it ready?	هل هو جاهز؟
It costs 20 dollars per hour.	يكلف 20 دولار للساعة الواحدة.
It hurts here.	انها تؤلمني هنا.
It's far from here.	انها بعيدة عن هنا.
It's going to be hot today.	انها سوف تكون ساخنة اليوم.
It's north of here.	انها الشمالي من هنا.
It's over there.	انها هناك.
It's raining.	انها تمطر.
It's too late.	فوات الاوان.
It's very important.	انه مهم جدا.
It will arrive shortly.	وسوف تصل قريبا.
The roads are slippery.	الطرق هي الزلقة.
What's the room rate?	ما هو سعر الغرفة؟
What will the weather be like tomorrow?	كيف سيكون الطقس غدا؟
Are you allergic to anything?	هل لديك حساسية ضد أي شيء؟
Are you ready?	هل أنت جاهز؟
Call me.	كلمني.
Did you send me flowers?	هل ترسل لي الزهور؟
Do you sell batteries?	هل بيع البطاريات؟
I don't care.	لا يهمني.
I give up.	أستسلم.
I got in an accident.	حصلت في حادث.
I have a cold.	لدي رشح.
I have one in my car.	لدي واحدة في سيارتي.
I made this cake.	أنا جعلت هذه الكعكة.
I'm a teacher.	انا مدرس.
I'm self-employed.	أنا لحسابهم الخاص.
I still have a lot to do.	لا يزال لدي الكثير لتفعله.
I still haven't decided.	ما زلت لم يحدد بعد.
It depends on the weather.	ذلك يعتمد على الطقس.
It's very cold today.	يوم بارد للغاية.
My luggage is missing.	حقائبي مفقود.
My stomach hurts.	معدتي تؤلمني.
My throat is sore.	حلقي هو التهاب.
My watch has been stolen.	قد سرقت ساعتي.
Take this medicine.	خذ هذا الدواء.
The accident happened at the intersection.	ووقع الحادث عند تقاطع.
There has been a car accident.	كان هناك حادث سيارة.
Where can I exchange U.S. dollars?	أين يمكنني تبادل دولار امريكي؟
Where do you work?	أين تعمل؟
Where's the nearest hospital?	أين أقرب مستشفى؟
Where's the post office?	اين مكتب البريد؟
Across from the post office.	على الجانب الآخر من مكتب البريد.
At 3 o'clock.	في 03:00.
Be quiet.	كن هادئا.
Can you recommend a good restaurant?	هل تستطيع أن تقترح اسم مطعم جيد؟
Here it is.	ها هو.
Here you are.	ها انت.
He's in the kitchen.	انه في المطبخ.
He studies at Boston University.	يدرس في جامعة بوسطن.
How far is it?	كم يبعد؟
How far is it to Chicago?	إلى أي مدى هو عليه الى شيكاغو؟
How many miles is it to Pennsylvania?	كم ميلا هل إلى ولاية بنسلفانيا؟
I'd like a single room.	أريد غرفة لشخص واحد.
I like to watch TV.	احب مشاهدة التلفاز.
It's delicious!	أنها لذيذة!
It's half past 11.	انها نصف الماضي 11.
It's less than 5 dollars.	كان أقل من 5 دولارات.
It's more than 5 dollars.	إنها أكثر من 5 دولارات.
It's near the Supermarket.	انها بالقرب من سوبر ماركت.
it's not suppose to rain today.	انها ليست من المفترض أن المطر اليوم.
It's ok.	حسنا.
It's on 7th street.	كان على 7th الشارع.
It's really hot.	انها حقا الساخنة.
It's suppose to rain tomorrow.	نفترض أن المطر غدا.
I was going to the library.	كنت ذاهبا إلى المكتبة.
I was in the library.	كنت في المكتبة.
Let's go.	لنذهب.
Maybe.	يمكن.
More than 200 miles.	أكثر من 200 ميل.
My house is close to the bank.	بيتي قريب من البنك.
Near the bank.	بالقرب من البنك.
On the left.	على اليسار.
On the right.	على اليمين.
On the second floor.	في الطابق الثاني.
Outside the hotel.	خارج الفندق.
Over here.	هنا.
Over there.	هناك.
The book is behind the table.	هذا الكتاب هو وراء طاولة المفاوضات.
The book is in front of the table.	يقع الكتاب في مقدمة الجدول.
The book is near the table.	هذا الكتاب هو بالقرب من الجدول.
The book is next to the table.	هذا الكتاب هو القادم الى طاولة المفاوضات.
The book is on top of the table.	الكتاب هو على رأس الطاولة.
There are some books on the table.	هناك بعض الكتب على الطاولة.
There's a book under the table.	هناك كتاب تحت الطاولة.
We're from California.	نحن من ولاية كاليفورنيا.
What's the address?	ما هو العنوان؟
Where are you going?	إلى أين تذهب؟
Where is it?	أين هي؟
Where would you like to go?	أين تريد أن تذهب؟
Who won?	الذي فاز؟
Are you American?	هل أنت أمريكي؟
Are you coming this evening?	هل أنت قادم هذا المساء؟
Are you free tonight?	هل انت حر الليلة؟
Are you going to take a plane or train?	انت ذاهب لتأخذ الطائرة أو القطار؟
Are you hungry?	هل انت جوعان؟
Are you sure?	هل أنت واثق؟
Are you working Tomorrow?	هل لديك عمل غدا؟
Business is good.	العمل جيد.
Cheers!	في صحتك!
Did it snow yesterday?	فعلت الثلوج أمس؟
Did you get my email?	هل وصلتك رسالتي في الايميل؟
Did you take your medicine?	هل تناول الدواء؟
Do you feel better?	هل تشعر بتحسن؟
Do you go to Florida often?	هل تذهب إلى ولاية فلوريدا في كثير من الأحيان؟
Do you have another one?	هل لديك واحد اخر؟
Do you know where there's a store that sells towels?	هل تعرف أين يوجد متجر لبيع المناشف؟
Do you like it here?	هل ترغب في ذلك هنا؟
Do you like the book?	هل تحب الكتاب؟
Do you need anything?	هل تحتاج لأي شيء؟
Do you play any sports?	هل تلعب اي رياضة؟
Do you sell medicine? (store)	هل تبيع الدواء؟ (متجر)
Do you study English?	هل تدرس الإنجليزية؟
Do you want to come with me?	هل تريد أن تأتي معي؟
Do you want to go with me?	هل تريد الذهاب معي؟
Excuse me.	عفوا.
Give me a call.	اتصل بي.
Has your brother been to California?	وقد تم أخيك إلى ولاية كاليفورنيا؟
Have they met her yet?	هل لديك التقيا لها حتى الآن؟
Have you done this before?	هل فعلت هذا من قبل؟
How long have you been here?	منذ متى وأنت هنا؟
How long have you been in America?	كم مكثت في أمريكا؟
How long have you lived here?	منذ متى وأنت تعيش هنا؟
How many children do you have?	كم طفلا لديك؟
How many languages do you speak?	كم لغة تتحدث؟
How many people do you have in your family?	كم من الناس هل لديك في عائلتك؟
How much would you like?	كم تريد؟
How old are you?	كم عمرك؟
I bought a shirt yesterday.	قمت بشراء قميص امس.
I don't feel well.	لا أشعر أني على ما يرام.
I have pain in my arm.	لدي ألم في ذراعي.
I have to wash my clothes.	لقد لغسل ملابسي.
I have two sisters.	لدي أختان.
I'll tell him you called.	انا اقول له قمت بالاتصال به.
I'm 32.	أنا 32.
"I'm 6'2""."	"أنا 6'2 ""."
I'm allergic to seafood.	عندي حساسية من المأكولات البحرية.
I'm American.	انا امريكي.
I'm a size 8.	أنا حجم 8.
"I'm fine, and you?"	جيد وأنت؟
I'm not afraid.	انا لست خائفا.
I'm sick.	انا مريض.
I remember.	انا اتذكر.
I speak a little English.	أنا أتحدث قليلا من الانكليزية.
Is your house like this one?	هل بيتك مثل هذا واحد؟
Is your husband also from Boston?	هو زوجك أيضا من بوسطن؟
It's not very expensive.	انها ليست مكلفة للغاية.
I've been there.	لقد كنت هناك.
Let's share.	دعنا نتشارك.
My daughter is here.	ابنتي هنا.
My father has been there.	كان والدي هناك.
My father is a lawyer.	والدي هو محام.
My grandmother passed away last year.	مرت جدتي بعيدا العام الماضي.
My name is John Smith.	اسمي جون سميث.
My son.	ابني.
My son studies computers.	ابني يدرس أجهزة الكمبيوتر.
"No, I'm American."	لا أنا أمريكي.
"No, this is the first time."	كلا هذه هى اول مره.
Our children are in America.	أطفالنا في أمريكا.
She's an expert.	انها خبير.
She's older than me.	انها أكبر مني.
That car is similar to my car.	تلك السيارة مماثلة لسيارتي.
This is Mrs. Smith.	هذا هو السيدة سميث.
This is my mother.	هذه امي.
This is the first time I've been here.	هذه هي المرة الأولى التي قضيتها هنا.
We have two boys and one girl.	لدينا اثنين من الصبية وفتاة واحدة.
What are you going to do tonight?	مالذي ستفعله الليلة؟
What are your hobbies?	ما هي هواياتك؟
What do you study?	ماذا تدرس؟
What do you want to do?	ماذا تريد أن تفعل؟
What school did you go to?	ما هي المدرسة ذهبت إليه؟
What's your favorite movie?	ما هو فيلمك المفضل؟
What's your last name?	ماهو إسم عائلتك؟
What's your name?	ما هو اسمك؟
Where are the t-shirts?	أين تي شيرت؟
Where did you go?	أين ذهبت؟
Where did you learn English?	أين تعلمت الإنجليزية؟
Where did you work before you worked here?	أين كنت تعمل قبل أن تعمل هنا؟
Where do you live?	أين تعيش؟
Where were you?	أين كنت؟
Who sent this letter?	الذي أرسل هذه الرسالة؟
Would you like to buy this?	هل ترغب في شراء هذا؟
Your children are very well behaved.	وتصرفت بشكل جيد جدا أطفالك.
Your daughter.	ابنتك.
You're smarter than him.	كنت أكثر ذكاء منه.
You speak English very well.	انت تتكلم الانجليزية بشكل جيد.
About 300 kilometers.	حوالي 300 كيلومترا.
A one way ticket.	تذكرة ذهاب.
Are you going to help her?	أنت ذاهب لمساعدتها؟
A round trip ticket.	تذكرة ذهاب وإياب.
At what time?	في أي وقت؟
Can I make an appointment for next Wednesday?	يمكنني تحديد موعد ليوم الاربعاء القادم؟
Can you repeat that please?	أعد ذلك من فضلك؟
Does this road go to New York?	هل يذهب هذا الطريق الى نيويورك؟
Do you have enough money?	هل لديك مال كفاية؟
Do you know how to cook?	هل تعلم كيف تطبخ؟
Do you know what this says?	هل تعلمون ماذا يقول هذا؟
Do you want me to come and pick you up?	هل تريد مني أن يأتي ويقلك؟
Follow me.	اتبعني.
From here to there.	من هنا إلى هناك.
Go straight ahead.	اتجه للأمام مباشرة.
Have you arrived?	هل وصلت؟
Have you been to Boston?	هل زرت بوسطن؟
How do I get there?	كيف أصل إلى هناك؟
How do I get to Daniel Street?	كيف أحصل على شارع دانيال؟
How do I get to the American Embassy?	كيف أحصل على السفارة الأمريكية؟
How long does it take by car?	كم من الوقت يستغرق بالسيارة؟
How long does it take to get to Georgia?	كم من الوقت يستغرق للوصول الى جورجيا؟
How long is the flight?	كم تستغرق رحلة الطيران؟
How was the movie?	كيف كان الفيلم؟
I'd like to make a phone call.	أود أن إجراء مكالمة هاتفية.
I'd like to make a reservation.	اود ان احجز.
I have a question I want to ask you./ I want to ask you a question.	لدي سؤال أريد أن أسأل you./ أريد أن أسألك سؤالا.
I'll take that one also.	سآخذ أن واحدا أيضا.
I'm coming right now.	أنا قادم الآن.
I'm going home in four days.	أنا ذاهب إلى الوطن في أربعة أيام.
I'm leaving Tomorrow.	سأرحل غدا.
I'm looking for the post office.	أنا أبحث عن مكتب البريد.
Is this pen yours?	هل هذا القلم لك؟
I wish I had one.	كنت أتمنى لو كان واحد.
One ticket to New York please.	تذكرة واحدة إلى نيويورك الرجاء.
One way or round trip?	طريقة واحدة أو ذهابا وإيابا؟
Please speak slower.	لطفا تحدث بشكل أبطأ.
Please take me to the airport.	يرجى يأخذني إلى المطار.
That way.	من ذلك الطريق.
The plane departs at 5:30P.	تغادر الطائرة في 5: 30P.
They arrived yesterday.	وصلوا أمس.
Turn around.	التف حوله.
Turn left.	انعطف لليسار.
Turn right.	انعطف يمينا.
What time are you going to the bus station?	وقت ما أنت ذاهب إلى محطة الحافلات؟
When did this happen?	متى حصل هذا؟
When did you arrive in Boston?	متى يصل في بوسطن؟
When does he arrive?	متى كان يصل؟
When does it arrive?	عندما لا تصل؟
When does the bank open?	متى يفتح البنك؟
When does the bus leave?	عندما تغادر الحافلة؟
When do we arrive?	متى نصل؟
When do we leave?	متى نغادر؟
Where can I mail this?	أين يمكنني البريد هذا؟
Where is she from?	من اين هي؟
Where is the bathroom?	أين هو الحمام؟
Why not?	لما لا؟
Will you remind me?	سوف أذكر لي؟
Amy is John's girlfriend.	ايمي هي صديقة جون.
He always does that for me.	كان دائما يفعل ذلك بالنسبة لي.
He broke the window.	ان اخترق النافذة.
He doesn't look like a nurse.	وقال انه لا تبدو وكأنها ممرضة.
He has a nice car.	لديه سيارة لطيفة.
He never gives me anything.	وقال انه لم يعطيني أي شيء.
He said this is a nice place.	وقال ان هذا هو المكان الجميل.
He's an American.	انه اميركي.
He's a very good student.	انه طالب جيد جدا.
He's faster than me.	وأسرع مني.
He thinks we don't want to go.	وهو يعتقد أننا لا نريد أن يذهب.
His room is very small.	غرفته صغيرة جدا.
His son.	ابنه.
How are your parents?	كيف حال والديك؟
How do I use this?	كيف يمكنني استخدام هذا؟
I came with my family.	جئت مع عائلتي.
I'd like to exchange this for Dollars.	أود أن تبادل هذا للدولار.
I'd like to use the internet	أود أن استخدام الإنترنت
I don't have time right now.	ليس لدي وقت الآن.
I don't know.	انا لا اعرف.
I have money.	لدي نقود.
I haven't had lunch yet.	لم تتح لي طعام الغداء بعد.
I have to go to the post office.	ولا بد لي من الذهاب إلى مكتب البريد.
I like Italian food.	أحب الطعام الإيطالي.
I live in California.	أنا أعيش في كاليفورنيا.
I'll talk to you soon.	سأكلمك قريبا.
I made a mistake.	لقد ارتكبت خطأ.
I'm bored.	اشعر باللملل.
I'm going to America next year.	أنا ذاهب إلى أمريكا العام المقبل.
I'm going to go have dinner.	انا ذاهب للذهاب لتناول العشاء.
I'm tired.	أنا مجهد.
"I'm very well, thank you."	أنا بخير، أشكرك.
I need another key.	أحتاج مفتاح آخر.
I need this to get there by tomorrow.	أنا في حاجة الى ذلك للوصول إلى هناك بحلول يوم غد.
I need to go now.	أحتاج أن أذهب الآن.
Is it suppose to rain tomorrow?	هل من المفترض أن المطر غدا؟
Is John there please? (phone call)	هو جون هناك من فضلك؟ (مكالمة هاتفية)
Is this a safe area?	هذا هو منطقة آمنة؟
Is this Mr. Smith?	هل هذا السيد سميث؟
Is this the bus to New York?	هل هذا هو الباص الى نيويورك؟
Is this your book?	هل هذا كتابك؟
I still have to brush my teeth and take a shower.	لا يزال لدي لتنظيف أسناني والاستحمام.
Is your father home?	هو منزل والدك؟
I think so.	أعتقد.
I think those shoes are very good looking.	وأعتقد أن تلك الأحذية تبدو جيدة جدا.
It's very windy.	الرياح شديدة.
It takes 2 hours by car.	يستغرق 2 ساعة بالسيارة.
I've never done that.	لقد فعلت ذلك أبدا.
I've worked there for five years.	لقد عملت هناك لمدة خمس سنوات.
I want to buy something.	أريد شراء شيء.
I want to contact our embassy.	أريد أن الاتصال سفارتنا.
I want to send this package to the United States.	أريد أن ترسل هذه الحزمة إلى الولايات المتحدة.
I want to show you something.	اريد ان اريك شيئا.
"I went to the supermarket, and then to the computer store."	ذهبت إلى السوبر ماركت، ثم إلى مخزن الكمبيوتر.
My car isn't working.	سيارتي لا يعمل.
Nobody is helping us.	لا أحد يساعدنا.
Nobody is there right now.	لا أحد هناك في الوقت الحالي.
One like that.	واحد من هذا القبيل.
Open the door.	افتح الباب.
Open the window.	افتح النافذة.
Pick up your clothes.	التقاط ملابسك.
Please.	رجاء.
Please count this for me.	الرجاء عد هذا بالنسبة لي.
Please tell her John called.	من فضلك قل لها جون يسمى.
Please tell me.	أرجوك قل لي.
Please wait for me.	انتظرني رجاء.
She's going with me tomorrow.	انها ستكون معي غدا.
Some books.	بعض الكتب.
Someone does that for me.	شخص يفعل ذلك بالنسبة لي.
Someone is coming.	شخص ما قادم.
"Sorry, I don't have a pencil."	آسف، أنا لم يكن لديك قلم رصاص.
Start the car.	بدء تشغيل السيارة.
Take me downtown.	خذني وسط المدينة.
Tell him that I need to talk to him.	أقول له أنني بحاجة إلى التحدث معه.
That car over there is mine.	تلك السيارة على وجود الألغام.
That looks old.	التي تبدو قديمة.
That's a good school.	هذا هو مدرسة جيدة.
That's her book.	هذا هو كتابها.
That's not enough.	هذا لا يكفي.
The car is fixed.	يتم إصلاح السيارة.
These books are ours.	وهذه الكتب هي لنا.
The TV is broken.	يتم تقسيم TV.
They haven't met her yet.	لم استقبالهم لها حتى الان.
They're planning to come next year.	انهم يخططون ليأتي العام المقبل.
They're waiting for us.	انهم ينتظرون منا.
This room is a mess.	هذه الغرفة في حالة من الفوضى.
Those men are speaking English.	وهؤلاء الرجال يتحدثون الإنجليزية.
What color is that car?	ما هو لون هذه السيارة؟
What do you think of these shoes?	ما رأيك في هذه الأحذية؟
When would you like to meet?	متى تود أن نتقابل؟
Where does your wife work?	حيث يعمل زوجتك؟
Where is Main Street?	أين هو الشارع الرئيسي؟
Where is my shirt?	أين قميصي؟
Where is the bus station?	أين هو محطة الحافلات؟
Which road should I take?	الطريق الذي ينبغي لي أن أعتبر؟
You're right.	أنت على حق.
Your house is very nice.	منزلك هو لطيف جدا.
And you?	وأنت أيضا؟
Anything else?	هل من شيء آخر؟
Are they the same?	هل هي نفسها؟
Are you afraid?	هل انت خائف؟
Are you going to attend their wedding?	هل انت ذاهب لحضور حفلة زواجهم؟
Are you married?	هل انت متزوج؟
Are you okay?	انت بخير؟
Are you sick?	هل انت مريض؟
Behind the bank.	خلف البنك.
Can I borrow some money?	هل بإمكاني أن أقترض بعض المال؟
Can I have the bill please?	هل يمكنني أن احصل على الفاتورة من فضلك؟
Can you call back later?	هل يمكنك أن تعاود الإتصال لاحقا؟
Can you call me back later?	يمكنك الاتصال بي مرة أخرى في وقت لاحق؟
Can you carry this for me?	يمكنك ان تحمل هذا بالنسبة لي؟
Can you fix this?	أيمكنك إصلاح هذا؟
Can you give me an example?	هل تستطيع أن تعطيني مثالا؟
Can you speak louder please?	يمكنك التحدث بصوت أعلى من فضلك؟
Can you swim?	هل يمكنك السباحة؟
Does he like the school?	فهل تحب المدرسة؟
Do you accept U.S. Dollars?	هل تقبل الدولار الأمريكي؟
Do you have a girlfriend?	هل لديك صديقة؟
Do you have an appointment?	هل لديك موعد؟
Do you have a problem?	هل لديك مشكلة؟
Do you hear that?	هل تسمع هذا؟
Do you know how to get to the Marriott Hotel?	هل تعرف كيفية الوصول الى فندق ماريوت؟
Do you know what this means?	هل تعرف ماذا يعني ذلك؟
Do you know where I can get a taxi?	هل تعرف أين يمكنني الحصول على سيارة أجرة؟
