both of them	كلاهما
Remember, you promised.	وتذكر أنك وعدت.
I don't remember your name.	أنا لا تذكر اسمك.
Do you remember your grandfather?	هل تذكر جدك؟
that sounds good	هذا يبدو جيدا
That sounds great	أن الأصوات عظيم
That sounds like fun	هذا يبدو ممتع
I hope your day is going well.	آمل يومك تسير على ما يرام.
I have a small fever.	لدي حمى الصغيرة.
I am sick.	انا تعبان.
Are you sick?	هل انت مريض؟
She is sick today.	كانت مريضة اليوم.
I am getting sick	أنا الحصول على المرضى
It's so early.	من المبكر للغاية.
What happened?	ماذا حدث؟
What's wrong?	ماالخطب؟
Say it again please.	قلها مرة أخرى من فضلك.
How long have you lived here?	منذ متى وأنت تعيش هنا؟
Soon I will have..	قريبا سوف يكون لي ..
I just came out of ...	جئت للتو من ...
Did you understand?	هل فهمت؟
I miss you.	افتقدك.
Go straight	انطلق الأمام
Turn left.	انعطف لليسار.
Turn right.	انعطف يمينا.
Where is our taxi?	حيث لدينا سيارة أجرة؟
too many	كثير جدا
I will try	سأحاول
I hope	اتمنى
spend time together	قضاء بعض الوقت معا
Is something different?	هو شيء مختلف؟
Everything is different now.	كل شيء مختلف الآن.
I will ask differently.	سأطلب بشكل مختلف.
Tom thought differently.	يعتقد توم مختلف.
When will they return?	عندما سيعود؟
You wear it often.	يمكنك ارتداء الحجاب في كثير من الأحيان.
What are you laughing about?	ما الذي يضحكك؟
You make me laugh.	أنت تجعلني أضحك.
Don't make me laugh!	لا تجعلني أضحك!
I don't know whether to laugh or cry.	أنا لا أعرف هل أضحك أم أبكي.
Everyone laughed at me.	ضحك الجميع في وجهي.
Stop laughing.	توقف عن الضحك.
Please stop laughing.	يرجى التوقف عن الضحك.
Why were you laughing? (to a man)	لماذا لم تضحك؟ (إلى رجل)
Why were you laughing? (to a woman)	لماذا لم تضحك؟ (لامرأة)
It is not decent to laugh at another's troubles.	وليس من اللائق أن تضحك في ومشاكل أخرى.
How old is she?	كم عمرها؟
How old is he?	كم عمره؟
You will be fine.	وسوف يكون على ما يرام.
Have a nice weekend.	أتمنى لك عطلة نهاية أسبوع سعيدة.
Tomorrow is a holiday.	غدا عطلة.
Have a good weekend!	أجازة سعيدة!
How was your weekend?	كيف كانت عطلة نهاية الاسبوع؟
How did your weekend go?	كيف عطلة نهاية الأسبوع تذهب؟
Where do you spend your weekends?	حيث تقضين عطلة نهاية الأسبوع الخاص؟
Do you have Saturday off?	هل لديك من يوم السبت؟
What are your plans for the weekend?	ما هي خططك لعطلة نهاية الاسبوع؟
When are you off?	عندما أنت خارج؟
This weekend	في نهاية هذا الاسبوع
Next weekend	عطلة نهاية الاسبوع القادمة
I can't wait for the weekend to begin.	لا استطيع الانتظار لعطلة نهاية الاسبوع للبدء.
I can't wait to go on a vacation.	لا استطيع الانتظار للذهاب في عطلة.
He waited until she came.	وانتظر حتى انها جاءت.
this week	هذا الاسبوع
next week	الاسبوع القادم
I'll see you next summer.	أنا أراكم الصيف المقبل.
When will the next train arrive?	متى يصل القطار القادم؟
When's the next meeting?	عندما هو الاجتماع المقبل؟
Was it a beautiful day?	كان يوم جميل؟
Did she cry?	وقالت انها تبكي؟
Are you crying?	هل تبكي؟
I will not start to cry.	وأنا لن تبدأ في البكاء.
I don't want to cry.	أنا لا أريد أن أبكي.
You can cry if you want.	يمكنك تبكي إذا كنت تريد.
We cried together.	بكينا معا.
She cried on his shoulder.	صرخت على كتفه.
The weather was beautiful.	كان الطقس جميلا.
They all stood.	وقفوا جميعا.
It was a beautiful night.	كانت ليلة جميلة.
Stop!	قف!
Stop right here.	توقف هنا.
How much is it?	كم سعره؟
How much did it cost?	كم كلفت؟
How much do the carrots cost?	كيف بكثير تكلفة الجزر؟
It's worth a try.	انها تستحق المحاولة.
Stand up straight.	يقف مستقيما.
Did you get up?	هل استيقضت؟
Stay there.	ابقى هنا.
Stand still.	تراوح مكانها.
There is no need to worry.	ليست هناك حاجة للقلق.
How long have you been standing here?	منذ متى وقفتم هنا؟
He is 100 years old.	هو 100 سنة.
Don't worry about your dog.	لا تقلق بشأن الكلب الخاص بك.
What are you worried about?	ما الذي أنت قلق بشأنه؟
They must be worried.	ويجب ان نشعر بالقلق.
She will probably come.	وقالت انها سوف تأتي على الارجح.
You are probably working too hard.	ربما كنت تعمل من الصعب جدا.
In addition ...	بالاضافة ...
bad situation	حالة سيئة
I forgot to ask you.	لقد نسيت ان اسألك.
Learn it.	تعلمه.
Learn these sentences.	تعلم هذه الأحكام.
Is it difficult to learn English?	هل من الصعب تعلم اللغة الإنجليزية؟
English is not difficult to learn.	اللغة الإنجليزية ليست صعبة التعلم.
Learning a language is not easy.	تعلم لغة ليست سهلة.
I want to learn Russian.	اريد ان اتعلم الروسية.
I learned it.	تعلمتها.
We learned English	تعلمنا اللغة الإنجليزية
I learned my lesson.	تعلمت درسي.
I should learn ...	وأود أن تعلم ...
You will learn.	سوف تتعلم.
The boy has learned to read.	علمت الصبي للقراءة.
I have learned to cook.	لقد تعلمت لطهي الطعام.
What did you learn?	ماذا تعلمت؟
Do you want to learn English?	هل تريد أن تتعلم اللغة الإنجليزية؟
I have learned so much.	لقد تعلمت الكثير.
Are you studying?	هل تدرس؟
Do you like to study?	هل ترغب في الدراسة؟
She studied hard.	درست الصعبة.
I'm fine.	أنا بخير.
What for?	لاجل ماذا؟
